Braille reading,Visual,Attention
Visual tracking,Visual,
Action observation,Visual,
Picture naming (silently) ,Visual,
Brightness perception ,Visual,
Picture naming (out loud) ,Visual,
Silent reading ,Visual,
Visual attention ,Visual,Attention
Drawing ,Attention,
Controlling eye movement ,Attention,
Mental rotation ,Attention,Visual
Visual control ,Attention,Visual
Pointing ,Attention,
Writing,Attention,Somatic motor
Imagined movement ,Attention,
Wisconsin Card Sorting Test (reasoning) ,Frontoparietal control,
Counting ,Frontoparietal control,Attention
Tower of London (complex planning task) ,Frontoparietal control,
n-back working memory task ,Frontoparietal control,
Sternberg working memory task ,Frontoparietal control,
Task switching,Frontoparietal control,
Word stem completion (out loud) ,Frontoparietal control,
Free word list recall ,Frontoparietal control,
Stroop task ,Frontoparietal control,
Flanker response inhibition task,Frontoparietal control,
Detecting vibrations through touch ,Somatic motor,
Finger tapping ,Somatic motor,
Vocal rehearsing ,Somatic motor,Salience
Small hand movements,Somatic motor,Salience
Whistling ,Somatic motor,Salience
Grasping ,Somatic motor,
Isometric force ,Somatic motor,Salience
Awareness of need to urinate ,Salience,
Stimulation monitoring ,Salience,
Nonpainful electrical stimulation ,Salience,Somatic motor
Breath holding ,Salience,
Word stem completion (silent),Salience,
Playing music ,Salience,
Imaging what others think ,Default,Limbic
Categorizing emotional scenes,Default,Limbic
Passive listening ,Default,Somatic motor
Lying ,Default,
Pitch detection, Default,
Event recall (episodic memory) ,Default,Limbic
Delayed gratification ,Default,
Word generation (out loud) ,Default,
Word meaning discrimination ,Default,
Grammar ,Default,
Face-emotion identification ,Limbic,
Scent detection ,Limbic,
Video games ,Limbic,
Classical conditioning ,Limbic,
Eating/drinking ,Limbic,
Passive viewing ,Limbic,
Monetary reward task,Limbic,
